path,hunk_count,functional_area,classification,reason,test_coverage,proposed_commit_group,preservation_action
api/alembic/env.py,1,migrations,BETA_READY,register release migrations,alembic-head,feat-moderation,commit
api/app/api/routes/auth.py,2,auth-moderation,BETA_READY,moderate signup profile values,test_content_moderation,feat-moderation,commit
api/app/api/routes/leagues.py,3,league-api,BETA_READY,draft order and reschedule endpoints,test_draft_room;test_leagues,fix-draft,commit
api/app/api/routes/saturday_pick.py,2,pick6-moderation,BETA_READY,moderate pick6 user input,test_content_moderation,feat-moderation,commit
api/app/api/routes/teams.py,2,team-moderation,BETA_READY,moderate team naming,test_content_moderation,feat-moderation,commit
api/app/api/routes/waivers.py,4,waivers,BETA_READY,selected-week projection and moderated claims,test_waiver_processing,fix-waivers,commit
api/app/api/routes/watchlists.py,3,watchlists-moderation,BETA_READY,moderate watchlist notes,test_content_moderation,feat-moderation,commit
api/app/db/model_registry.py,1,moderation,BETA_READY,register moderation model,test_content_moderation,feat-moderation,commit
api/app/domain/scoring_rules.py,5,scoring,BETA_READY,field-goal tiers through 61 plus,test_scoring_engine,fix-scoring,commit
api/app/domain/stat_normalization.py,1,scoring,BETA_READY,normalize field-goal distance tiers,test_scoring_engine,fix-scoring,commit
api/app/integrations/espn.py,2,injuries,BETA_READY,consistent provider injury status,test_espn_boxscores,fix-player-card,commit
api/app/main.py,2,moderation,BETA_READY,mount moderation admin route,test_content_moderation,feat-moderation,commit
api/app/models/draft.py,1,draft-order,BETA_READY,persist draft order mode,test_draft_room,fix-draft,commit
api/app/models/team.py,1,draft-order,BETA_READY,persist per-team order position,test_draft_room,fix-draft,commit
api/app/schemas/auth.py,3,auth,BETA_READY,password-save response and safe validation,test_auth_sessions,fix-navigation,commit
api/app/schemas/league_flow.py,12,league-settings,BETA_READY,draft order reschedule waiver timezone scoring schemas,test_draft_room;test_leagues,fix-draft,commit
api/app/schemas/mock_draft.py,1,mock-draft,BETA_READY,moderated mock draft schema,test_content_moderation,feat-moderation,commit
api/app/schemas/player_trajectory.py,1,player-card,BETA_READY,allow current projection trajectory source,test_player_trajectory,fix-player-card,commit
api/app/schemas/saturday_pick.py,2,pick6,BETA_READY,sponsor-safe pick contract,test_saturday_pick,feat-pick6,commit
api/app/schemas/team.py,2,team-moderation,BETA_READY,team input validation,test_content_moderation,feat-moderation,commit
api/app/schemas/watchlist.py,3,watchlists-moderation,BETA_READY,watchlist input validation,test_content_moderation,feat-moderation,commit
api/app/services/chat_service.py,4,chat-moderation,BETA_READY,moderate user chat messages,test_content_moderation,feat-moderation,commit
api/app/services/draft_service.py,4,draft-order,BETA_READY,materialize random order and enforce custom order,test_draft_room,fix-draft,commit
api/app/services/league_flow.py,12,league-flow,BETA_READY,rescheduling scoring icon moderation,test_leagues;test_draft_room,fix-draft,commit
api/app/services/league_workspace.py,3,league-ui-data,BETA_READY,league matchup and draft-order response,test_leagues,fix-core,commit
api/app/services/mock_draft_service.py,2,mock-draft-moderation,BETA_READY,moderate mock draft input,test_content_moderation,feat-moderation,commit
api/app/services/player_trade_value.py,6,player-card,BETA_READY,canonical current value and no conflicting baseline,test_player_trade_value,fix-player-card,commit
api/app/services/player_trajectory.py,8,player-card,BETA_READY,projection graph shares current player metric,test_player_trajectory,fix-player-card,commit
api/app/services/projections/engine.py,1,projections,BETA_READY,unavailable projection is not zero,test_waiver_processing,fix-waivers,commit
api/app/services/trade_service.py,8,trades-moderation,BETA_READY,moderate trade user-generated text,test_content_moderation,feat-moderation,commit
api/app/services/waiver_service.py,6,waivers,BETA_READY,league-specific waiver processing and projection ordering,test_waiver_processing,fix-waivers,commit
tests/api/test_draft_room.py,12,draft-tests,TEST_ONLY,random order lifecycle regression coverage,pytest test_draft_room,test-release,commit
tests/api/test_espn_boxscores.py,1,injury-tests,TEST_ONLY,injury consistency coverage,pytest test_espn_boxscores,test-release,commit
tests/api/test_leagues.py,6,league-tests,TEST_ONLY,league settings and matchup coverage,pytest test_leagues,test-release,commit
tests/api/test_player_trade_value.py,2,value-tests,TEST_ONLY,current value source coverage,pytest test_player_trade_value,test-release,commit
tests/api/test_player_trajectory.py,2,trajectory-tests,TEST_ONLY,current projection graph coverage,pytest test_player_trajectory,test-release,commit
